"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
"Sorry, you've gone past the pick up time limit.","Maaf, Anda telah melewatkan batas waktu pengambilan di gerai."
"%1, we are sorry...","%1, kami mohon maaf..."
"We found unavailable item(s) in your order. Your card will not be charged for this transaction.","Ada produk pesanan Anda yang tidak tersedia. Transaksi ini tidak akan ditagihkan pada kartu Anda."
"We found unavailable item(s) in your order. Tap here to see the list & request a refund.","Ada produk pesanan Anda yang tidak tersedia. Cek detailnya dan cara mendapatkan refund di sini."
"Some products in your order are not available. Your card will not be charged for these products.","Beberapa produk pesanan Anda tidak tersedia. Produk-produk ini tidak akan ditagihkan pada kartu Anda."
"Some products in your order are not available. Tap to see the details & get a refund with a few easy steps.","Beberapa produk pesanan Anda tidak tersedia. Cek detailnya & dapatkan refund dengan langkah mudah."
"%1, you've got new vouchers.","%1, Anda mendapatkan beberapa voucher baru."
"Check them out and shop now!","Cek vouchernya dan langsung belanja!"
"There is something new for you.","Ada yang baru untuk Anda"
"Check out the new T&C/policy from Transmart","Cek T&C/kebijakan terbaru dari Transmart"
"%1, we have a voucher for you.","%1, kami punya voucher untuk Anda."
"Find it on My Voucher!","Cek yang satu ini dan langsung belanja!"
"Not you? Consider changing your password.","Bukan Anda? Ganti kata sandi untuk keamanan akun."
"Someone just signed in to your account on other device.","Seseorang masuk ke akun Anda melalui perangkat lain."
All,Semua
None,Tidak ada
Allowed Scopes,Cakupan yang Diizinkan
You need more permissions to delete this item(s): %1.,Anda memerlukan izin tambahan untuk menghapus item ini: %1.
You need more permissions to apply some of the rule updates.,Anda memerlukan izin tambahan untuk menerapkan beberapa pembaruan aturan.
Please assign this entity to a store view.,Silakan tetapkan entitas ini ke tampilan toko.
You can create orders only in an active store.,Anda hanya bisa membuat pesanan di toko yang aktif.
Please assign this item to a store view.,Silakan tetapkan item ini ke tampilan toko.
You need more permissions to save this item.,Anda memerlukan izin tambahan untuk menyimpan item ini.
You need more permissions to delete this item.,Anda memerlukan izin tambahan untuk menghapus item ini.
You need more permissions to view this item.,Anda memerlukan izin tambahan untuk melihat item ini.
Please specify at least one website or one store group.,Silakan tentukan setidaknya satu situs web atau satu grup toko.
You need more permissions to set All Scopes to a Role.,Anda memerlukan izin tambahan untuk menetapkan Semua Cakupan ke sebuah Wewenang.
Incorrect website ID: %1,ID salah situs: %1
"You need more permissions to access website ""%1"".","Anda perlu lebih banyak izin untuk mengakses situs web ""%1""."
Incorrect store ID: %1,ID Toko salah: %1
You need more permissions to save this setting.,Anda perlu izin tambahan untuk menyimpan pengaturan ini.
Role Scopes,Cakupan Wewenang
Custom,Ubah Suai
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Anda tidak memiliki izin untuk menyimpan item ini dalam lingkup tampilan toko saat ini. Silakan, beralih untuk mengizinkan tampilan toko"
"More permissions are needed to delete the ""%1"" item.","Izin lain diperlukan untuk menghapus item ""%1""."
This entity needs to be assigned to a store view. Verify the entity assignment and try again.,Entitas ini perlu ditetapkan ke tampilan toko. Periksa penetapan entitas dan coba lagi.
Orders can only be completed in an active store. Verify the store and try again.,Pesanan hanya dapat diselesaikan pada toko yang aktif. Periksa toko dan coba lagi.
This item needs to be assigned to a store view. Assign item and try again.,Item ini perlu ditetapkan ke tampilan toko. Tetapkan dan coba lagi.
More permissions are needed to save this item.,Izin lain diperlukan untuk menyimpan item ini.
More permissions are needed to delete this item.,Izin lain diperlukan untuk menghapus item ini.
More permissions are needed to view this item.,Izin lain diperlukan untuk melihat item ini.
At least one website or store group needs to be selected. Select and try again.,Setidaknya satu situs atau kelompok toko perlu dipilih. Pilih dan coba lagi.
More permissions are needed to set All Scopes to a Role.,Izin lain diperlukan untuk menetapkan Semua Cakupan ke sebuah Wewenang.
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ID situs salah. Periksa situs dan coba lagi."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ID toko salah. Periksa ID toko dan coba lagi."
More permissions are needed to save this setting.,Izin lain diperlukan untuk menyimpan setelan ini.
Read Details,Baca Rincian
Mark as Read,Tandai telah Dibaca
Are you sure?,Apakah kamu yakin?
Remove,Hapus
Messages Inbox,Pesan Kotak masuk
You have %1 new system messages,You have %1 new system messages one
You have %1 new system message,You have %1 new system message you
Incoming Message,Pesan masuk
close,tutup
Notifications,Pemberitahuan
The message has been marked as Read.,Pesan telah ditandai sebagai telah terbaca.
We couldn't mark the notification as Read because of an error.,Kami tidak dapat menandai notifikasi sebagai Baca karena adanya kesalahan.
Please select messages.,Silahkan pilih pesan.
A total of %1 record(s) have been marked as Read.,Sebanyak %1 record(s) telah ditandai sebagai Baca.
Total of %1 record(s) have been removed.,Total %1 record(s) telah dihapus.
We couldn't remove the messages because of an error.,Kami tidak dapat menghapus pesan karena adanya kesalahan.
The message has been removed.,Pesan telah dihapus.
1 Hour,1 jam
2 Hours,2 jam
6 Hours,6 jam
12 Hours,12 jam
24 Hours,24 jam
critical,kritis
major,mayor
minor,kecil
notice,pemberitahuan
Wrong message type,Tipe Pesan yang salah
Wrong notification ID specified.,Kesalahan notifikasi ID secara spesifik.
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} tidak disarankan untuk menggunakan dalam lingkungan produksi mendeklarasikan dasar URL yang tidak aman / dasar URL aman. Kami sangat menyarankan untuk mengganti nilai ini pada Magento anda <a href=""%1"">configuration</a>."
One or more of the Cache Types are invalidated: %1. ,Satu atau beberapa Jenis Cache tidak berlaku lagi: %1.
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Silakan buka <a href=""%1""> Manajemen Cache </a> dan segarkan jenis cache."
We were unable to synchronize one or more media files. Please refer to the log file for details.,Kami tidak dapat menyinkronkan satu atau beberapa file media. Silakan merujuk ke file log untuk rinciannya.
